trial,endState,user,redirector,resetCount,virtualDistance,gtChangeMax,gcChangeMax,gtChangeAvg,gcChangeAvg
0,Normal,0,PredRedLPP,8,99.97537,4,11.33333,0.1550289,0.1437282
1,Normal,0,PredRedLPP,8,99.97196,3.428571,2.666667,0.1480948,0.1235552
2,Normal,0,PredRedLPP,8,99.96754,4,2.666667,0.1602328,0.1384804
3,Normal,0,PredRedLPP,8,99.96897,4,2.666667,0.1481548,0.1234409
4,Normal,0,PredRedLPP,8,99.9807,4,2.285714,0.1464017,0.1203883
5,Normal,0,PredRedLPP,8,99.96744,4,2.666667,0.07780907,0.2211791
6,Normal,0,PredRedLPP,8,99.96162,3.333334,2.666667,0.1421258,0.1211913
7,Normal,0,PredRedLPP,8,99.9688,4,2.222222,0.1381563,0.1130298
8,Normal,0,PredRedLPP,8,99.98361,3.766667,2.666667,0.1641538,0.140882
9,Normal,0,PredRedLPP,11,99.9724,4,2.666667,0.07658888,0.04586957
10,Normal,0,PredRedLPP,8,99.97318,4,2.666667,0.1498053,0.1305209
11,Normal,0,PredRedLPP,7,99.98385,4,2.285714,0.174497,0.1559299
12,Normal,0,PredRedLPP,8,99.97219,4,2.666667,0.1624087,0.1398447
13,Normal,0,PredRedLPP,7,99.97385,4,2.666667,0.1643911,0.1449072
14,Normal,0,PredRedLPP,8,99.96926,4,2.222222,0.222102,0.1949379
15,Normal,0,PredRedLPP,8,99.96491,3.428572,2.666667,0.1480528,0.1236063
16,Normal,0,PredRedLPP,7,99.99055,4,2.666667,0.1481482,0.1218377
17,Normal,0,PredRedLPP,8,99.97039,3.333334,2.666667,0.1574692,0.1370958
18,Normal,0,PredRedLPP,8,99.96709,3.428572,2.666667,0.177215,0.1610459
19,Normal,0,PredRedLPP,8,99.97784,3.100001,2.666667,0.1973089,0.1776614
20,Normal,0,PredRedLPP,8,99.97344,4,2.285714,0.1624716,0.1335681
21,Normal,0,PredRedLPP,8,99.96631,4,2.666667,0.1910949,0.1682279
22,Normal,0,PredRedLPP,8,99.96912,3.628572,2.285714,0.1589838,0.1357063
23,Normal,0,PredRedLPP,8,99.97606,4,2.476191,0.1477607,0.1221979
24,Normal,0,PredRedLPP,8,99.96941,4,2.666667,0.1564551,0.1393554
25,Normal,0,PredRedLPP,7,99.98811,3.533334,2.666667,0.196446,0.1730276
26,Normal,0,PredRedLPP,8,99.97261,4,2.666667,0.1483424,0.1239416
27,Normal,0,PredRedLPP,7,99.99597,4,2.666667,0.1489802,0.1275715
28,Normal,0,PredRedLPP,8,99.97665,4,2.666667,0.1883978,0.1724693
29,Normal,0,PredRedLPP,8,99.97858,4,2.285714,0.157668,0.1399297
30,Normal,0,PredRedLPP,8,99.97408,4,2.666667,0.1613713,0.1339805
31,Normal,0,PredRedLPP,8,99.98262,4,2.666667,0.1637627,0.210689
32,Normal,0,PredRedLPP,7,99.9742,2.666668,2.285714,0.1480935,0.1265156
33,Normal,0,PredRedLPP,8,99.97704,3.333334,2.666667,0.1535966,0.1312869
34,Normal,0,PredRedLPP,8,99.97243,4,2.666667,0.1949925,0.1738132
