trial,endState,user,redirector,resetCount,virtualDistance,gtChangeMax,gcChangeMax,gtChangeAvg,gcChangeAvg
0,Normal,0,None,10,99.96942,0,0,0,0
1,Normal,0,None,10,99.98357,0,0,0,0
2,Normal,0,None,10,99.96861,0,0,0,0
3,Normal,0,None,10,99.9759,0,0,0,0
4,Normal,0,None,10,99.97906,0,0,0,0
5,Normal,0,None,10,99.97667,0,0,0,0
6,Normal,0,None,11,99.97478,0,0,0,0
7,Normal,0,None,10,99.98213,0,0,0,0
8,Normal,0,None,10,99.97956,0,0,0,0
9,Normal,0,None,11,99.97944,0,0,0,0
10,Normal,0,None,10,99.96699,0,0,0,0
11,Normal,0,None,10,99.96839,0,0,0,0
12,Normal,0,None,10,99.9733,0,0,0,0
13,Normal,0,None,11,99.97014,0,0,0,0
14,Normal,0,None,10,99.97041,0,0,0,0
15,Normal,0,None,10,99.98422,0,0,0,0
16,Normal,0,None,10,99.97487,0,0,0,0
17,Normal,0,None,10,99.97823,0,0,0,0
18,Normal,0,None,10,99.97023,0,0,0,0
19,Normal,0,None,10,99.98043,0,0,0,0
20,Normal,0,None,11,99.97716,0,0,0,0
21,Normal,0,None,10,99.98211,0,0,0,0
22,Normal,0,None,10,99.96835,0,0,0,0
23,Normal,0,None,11,99.98155,0,0,0,0
24,Normal,0,None,11,99.96478,0,0,0,0
25,Normal,0,None,10,99.97492,0,0,0,0
26,Normal,0,None,10,99.97542,0,0,0,0
27,Normal,0,None,10,99.97357,0,0,0,0
28,Normal,0,None,10,99.97949,0,0,0,0
29,Normal,0,None,11,99.97053,0,0,0,0
30,Normal,0,S2C,0,99.97795,0,5,0,0.005347594
31,Normal,0,S2C,0,99.9836,0,5.714286,0,0.07762843
32,Normal,0,S2C,0,99.98233,0,6.666667,0,0.02503577
33,Normal,0,S2C,1,99.98258,0,10,0,0.06362671
34,Normal,0,S2C,0,99.98358,0,10,0,0.01074114
35,Normal,0,S2C,0,99.97345,0,10,0,0.04390042
36,Normal,0,S2C,0,99.98022,0,10,0,0.07086775
37,Normal,0,S2C,0,99.96947,0,6.666667,0,0.06810091
38,Normal,0,S2C,0,99.97861,0,5,0,0.04091862
39,Normal,0,S2C,0,99.97242,0,10,0,0.01072961
40,Normal,0,S2C,1,99.98113,0,10,0,0.0613466
41,Normal,0,S2C,1,99.97556,0,5.714286,0,0.0765759
42,Normal,0,S2C,0,99.97018,0,5.714286,0,0.06199853
43,Normal,0,S2C,1,99.97575,0,10,0,0.09694594
44,Normal,0,S2C,0,99.97058,0,5.714286,0,0.03563681
45,Normal,0,S2C,1,99.98289,0,10,0,0.03616637
46,Normal,0,S2C,0,99.98406,0,10,0,0.08379316
47,Normal,0,S2C,1,99.98504,0,5.714286,0,0.1175214
48,Normal,0,S2C,0,99.98299,0,10,0,0.01070664
49,Normal,0,S2C,1,99.97958,0,10,0,0.08909695
50,Normal,0,S2C,0,99.98645,0,0,0,0
51,Normal,0,S2C,0,99.98274,0,0,0,0
52,Normal,0,S2C,0,99.98402,0,5.714286,0,0.07658643
53,Normal,0,S2C,0,99.97046,0,10,0,0.01084599
54,Normal,0,S2C,0,99.98566,0,5.714286,0,0.04845264
55,Normal,0,S2C,0,99.97674,0,5.714286,0,0.05222067
56,Normal,0,S2C,0,99.97625,0,5.714286,0,0.05695813
57,Normal,0,S2C,0,99.97891,0,0,0,0
58,Normal,0,S2C,0,99.98461,0,5.714286,0,0.07658643
59,Normal,0,S2C,1,99.98116,0,10,0,0.05776572
60,Normal,0,ThomasAPF,1,99.979,2.600001,6,0.04428226,0.06198585
61,Normal,0,ThomasAPF,0,99.9762,2.600001,10,0.0480888,0.06576243
62,Normal,0,ThomasAPF,0,99.97068,2.600001,3.333333,0.04527365,0.0533049
63,Normal,0,ThomasAPF,0,99.9946,2.600001,10,0.04625514,0.03380181
64,Normal,0,ThomasAPF,0,99.97245,2.600001,10,0.04499385,0.03943727
65,Normal,0,ThomasAPF,1,99.99387,2.600001,6.666667,0.04375003,0.06925365
66,Normal,0,ThomasAPF,0,99.98531,2.228572,10,0.04738763,0.06075333
67,Normal,0,ThomasAPF,0,99.96915,2.600001,0,0.04567129,0
68,Normal,0,ThomasAPF,0,99.98103,2.600001,0,0.0446626,0
69,Normal,0,ThomasAPF,0,99.98315,2.600001,10,0.04832716,0.06077771
70,Normal,0,ThomasAPF,0,99.97762,2.600001,6.666667,0.04533003,0.1701951
71,Normal,0,ThomasAPF,1,99.98458,2.600001,6,0.04715843,0.0663327
72,Normal,0,ThomasAPF,0,99.98762,2.600001,5.714286,0.04550003,0.03214286
73,Normal,0,ThomasAPF,0,99.98151,2.228572,10,0.0480888,0.220774
74,Normal,0,ThomasAPF,0,99.97903,2.600001,10,0.04422845,0.06422494
75,Normal,0,ThomasAPF,0,99.97752,2.600001,10,0.04482761,0.01935257
76,Normal,0,ThomasAPF,0,99.97974,2.600001,10,0.04721552,0.07840425
77,Normal,0,ThomasAPF,1,99.9837,2.600001,5,0.0464286,0.07879817
78,Normal,0,ThomasAPF,0,99.9905,2.228572,10,0.0506083,0.01216545
79,Normal,0,ThomasAPF,0,99.98076,2.600001,5,0.04424964,0.0573033
80,Normal,0,ThomasAPF,0,99.99782,2.600001,4.285714,0.04601772,0.01264222
81,Normal,0,ThomasAPF,0,99.98585,2.228572,10,0.04838712,0.01240695
82,Normal,0,ThomasAPF,0,99.97942,2.600001,6.666667,0.05091802,0.0477939
83,Normal,0,ThomasAPF,0,99.98281,2.600001,10,0.04814817,0.05114638
84,Normal,0,ThomasAPF,0,99.9811,2.600001,10,0.04698797,0.03786574
85,Normal,0,ThomasAPF,0,99.98468,2.600001,0,0.06136649,0
86,Normal,0,ThomasAPF,0,99.98809,2.600001,5,0.04516132,0.02067825
87,Normal,0,ThomasAPF,0,99.98105,2.600001,3.333333,0.04721553,0.05534417
88,Normal,0,ThomasAPF,0,99.99096,2.228572,0,0.04466259,0
89,Normal,0,ThomasAPF,1,99.9914,2.600001,10,0.04721552,0.09973478
90,Normal,0,PredRedLPP,0,99.96957,1.166666,10,0.003027025,0.04756757
91,Normal,0,PredRedLPP,0,99.97577,0,0,0,0
92,Normal,0,PredRedLPP,0,99.97469,0,10,0,0.01082251
93,Normal,0,PredRedLPP,0,99.97131,0,10,0,0.04978355
94,Normal,0,PredRedLPP,1,99.97263,2.6,8.333334,0.005445029,0.03979057
95,Normal,0,PredRedLPP,0,99.97371,0,2,0,0.008658011
96,Normal,0,PredRedLPP,1,99.98529,2.6,6.666666,0.007257203,0.03344006
97,Normal,0,PredRedLPP,0,99.97985,0,0,0,0
98,Normal,0,PredRedLPP,0,99.97166,0,0,0,0
99,Normal,0,PredRedLPP,0,99.98347,0,0,0,0
100,Normal,0,PredRedLPP,0,99.96954,0.3999996,8.571428,0.0008565303,0.0235546
101,Normal,0,PredRedLPP,0,99.97336,0,0,0,0
102,Normal,0,PredRedLPP,0,99.98344,0,1.714286,0,0.008565312
103,Normal,0,PredRedLPP,0,99.98162,0,8.333334,0,0.03000938
104,Normal,0,PredRedLPP,0,99.9771,0,2,0,0.01750547
105,Normal,0,PredRedLPP,0,99.97622,0,6,0,0.02141328
106,Normal,0,PredRedLPP,0,99.96954,0,10,0,0.01082251
107,Normal,0,PredRedLPP,0,99.9761,0,1.428571,0,0.004376368
108,Normal,0,PredRedLPP,0,99.97962,0.9999996,4.166667,0.002164501,0.009018759
109,Normal,0,PredRedLPP,0,99.97182,0,10,0,0.02380952
110,Normal,0,PredRedLPP,1,99.9742,2.6,10,0.008959436,0.04021164
111,Normal,0,PredRedLPP,1,99.97041,2.6,10,0.005445029,0.03490402
112,Normal,0,PredRedLPP,0,99.97453,0,2,0,0.01750547
113,Normal,0,PredRedLPP,0,99.97626,0,10,0,0.01070664
114,Normal,0,PredRedLPP,0,99.97033,0,0,0,0
115,Normal,0,PredRedLPP,1,99.97747,2.6,10,0.02004175,0.05149617
116,Normal,0,PredRedLPP,0,99.98267,2.166667,10,0.002810812,0.02810811
117,Normal,0,PredRedLPP,0,99.98193,0,10,0,0.01082251
118,Normal,0,PredRedLPP,0,99.96834,0,10,0,0.04906204
119,Normal,0,PredRedLPP,0,99.9715,1.166666,5,0.003030301,0.03174603
120,Normal,0,None,10,100.0002,0,5,0,0.004321521
120,Normal,1,None,11,99.97422,0,10,0,0.008643042
121,Normal,0,None,11,99.98317,0,0,0,0
121,Normal,1,None,11,100.0029,0,0,0,0
122,Normal,0,None,10,100,0,0,0,0
122,Normal,1,None,10,99.9675,0,0,0,0
123,Normal,0,None,10,100.0028,0,0,0,0
123,Normal,1,None,10,99.98085,0,0,0,0
124,Normal,0,None,11,100.0009,0,0,0,0
124,Normal,1,None,12,99.97369,0,0,0,0
125,Normal,0,None,10,100.001,0,0,0,0
125,Normal,1,None,12,99.97396,0,0,0,0
126,Normal,0,None,10,99.99972,0,0,0,0
126,Normal,1,None,11,99.97282,0,0,0,0
127,Normal,0,None,10,100.0004,0,0,0,0
127,Normal,1,None,11,99.97659,0,0,0,0
128,Normal,0,None,10,100.0005,0,0,0,0
128,Normal,1,None,10,99.97752,0,0,0,0
129,Normal,0,None,10,100.0032,0,0,0,0
129,Normal,1,None,10,99.97995,0,0,0,0
130,Normal,0,None,10,99.99506,0,0,0,0
130,Normal,1,None,10,99.96765,0,0,0,0
131,Normal,0,None,11,99.9835,0,0,0,0
131,Normal,1,None,11,99.99617,0,0,0,0
132,Normal,0,None,10,99.97295,0,0,0,0
132,Normal,1,None,10,100.0013,0,0,0,0
133,Normal,0,None,10,100.0006,0,0,0,0
133,Normal,1,None,11,99.97398,0,0,0,0
134,Normal,0,None,10,99.96615,0,0,0,0
134,Normal,1,None,10,99.99967,0,0,0,0
135,Normal,0,None,11,99.97581,0,0,0,0
135,Normal,1,None,11,99.99985,0,0,0,0
136,Normal,0,None,10,99.99913,0,0,0,0
136,Normal,1,None,10,99.96857,0,0,0,0
137,Normal,0,None,11,99.98078,0,0,0,0
137,Normal,1,None,11,99.99982,0,0,0,0
138,Normal,0,None,10,99.99978,0,0,0,0
138,Normal,1,None,11,99.98244,0,0,0,0
139,Normal,0,None,11,99.97433,0,0,0,0
139,Normal,1,None,10,100.0002,0,0,0,0
140,Normal,0,None,10,99.99897,0,0,0,0
140,Normal,1,None,10,99.98376,0,0,0,0
141,Normal,0,None,10,99.99848,0,0,0,0
141,Normal,1,None,11,99.96786,0,0,0,0
142,Normal,0,None,10,99.97115,0,0,0,0
142,Normal,1,None,10,100.0007,0,0,0,0
143,Normal,0,None,11,99.96927,0,0,0,0
143,Normal,1,None,10,100.0006,0,0,0,0
144,Normal,0,None,10,99.97237,0,0,0,0
144,Normal,1,None,10,99.99972,0,0,0,0
145,Normal,0,None,12,99.97559,0,0,0,0
145,Normal,1,None,10,99.99984,0,0,0,0
146,Normal,0,None,10,100.0014,0,0,0,0
146,Normal,1,None,10,99.96983,0,0,0,0
147,Normal,0,None,11,99.99966,0,0,0,0
147,Normal,1,None,12,99.97584,0,0,0,0
148,Normal,0,None,11,99.97444,0,0,0,0
148,Normal,1,None,10,100.0026,0,0,0,0
149,Normal,0,None,12,99.99987,0,0,0,0
149,Normal,1,None,12,99.97876,0,0,0,0
150,Normal,0,S2C,0,100.0021,0,6.666667,0,0.06511791
150,Normal,1,S2C,1,99.97758,0,10,0,0.01583949
151,Normal,0,S2C,1,99.98219,0,10,0,0.07471607
151,Normal,1,S2C,0,100.003,0,10,0,0.05230125
152,Normal,0,S2C,1,99.97215,0,10,0,0.08146024
152,Normal,1,S2C,0,100.0011,0,0,0,0
153,Normal,0,S2C,1,99.9798,0,10,0,0.09733452
153,Normal,1,S2C,0,100.0038,0,5.714286,0,0.06788459
154,Normal,0,S2C,1,99.97002,0,10,0,0.09674186
154,Normal,1,S2C,0,100.0035,0,5.714286,0,0.0726817
155,Normal,0,S2C,0,100.0027,0,5.714286,0,0.07341269
155,Normal,1,S2C,1,99.98592,0,10,0,0.06547618
