trial,endState,user,redirector,resetCount,virtualDistance,gtChangeMax,gcChangeMax,gtChangeAvg,gcChangeAvg
0,Normal,0,PredRedLPP,0,99.98494,0,15,0,0.01623377
1,Normal,0,PredRedLPP,0,99.97736,1.399999,8,0.003030301,0.03679654
2,Normal,0,PredRedLPP,0,99.97484,1.857144,5,0.007051282,0.02228327
3,Normal,0,PredRedLPP,0,99.9845,0,0,0,0
4,Normal,0,PredRedLPP,0,99.97954,0,0,0,0
5,Normal,0,PredRedLPP,0,99.96842,0,10,0,0.02783726
6,Normal,0,PredRedLPP,0,99.98331,0,10,0,0.01082251
7,Normal,0,PredRedLPP,0,99.9829,0.4666662,10,0.0010101,0.03318904
8,Normal,0,PredRedLPP,1,99.9758,2.6,8.571428,0.008421054,0.04721805
9,Normal,0,PredRedLPP,0,99.97768,2.228572,2,0.005775401,0.01925134
10,Normal,0,PredRedLPP,0,99.97855,1.399999,7.142858,0.006113534,0.03930131
11,Normal,0,PredRedLPP,1,99.98146,2.6,10,0.01666666,0.0547619
12,Normal,0,PredRedLPP,0,99.97937,0,8.571428,0,0.02407002
13,Normal,0,PredRedLPP,1,99.98365,2.6,10,0.0113924,0.03516174
14,Normal,0,PredRedLPP,0,99.97992,1.857144,3.333333,0.008742003,0.02416489
15,Normal,0,PredRedLPP,0,99.98222,0.9999996,6.666667,0.003023756,0.02663787
16,Normal,0,PredRedLPP,1,99.97709,2.6,8,0.005502648,0.04303351
17,Normal,0,PredRedLPP,1,99.97841,2.6,10,0.005496831,0.0548676
18,Normal,0,PredRedLPP,0,99.98569,0.6,8.571428,0.002625821,0.02969678
19,Normal,0,PredRedLPP,0,99.98389,0,0,0,0
20,Normal,0,PredRedLPP,0,99.97488,0,0,0,0
21,Normal,0,PredRedLPP,0,99.97861,0,0,0,0
22,Normal,0,PredRedLPP,0,99.9737,1.300001,10,0.00278075,0.02780749
23,Normal,0,PredRedLPP,0,99.97491,0,10,0,0.03463203
24,Normal,0,PredRedLPP,0,99.98503,0,0,0,0
25,Normal,0,PredRedLPP,1,99.9843,2.600001,10,0.01434599,0.04992968
26,Normal,0,PredRedLPP,0,99.97474,1.733334,10,0.01186623,0.04962243
27,Normal,0,PredRedLPP,0,99.97083,1.399999,4,0.003023756,0.01943845
28,Normal,0,PredRedLPP,0,99.98586,0,1.714286,0,0.01531729
29,Normal,0,PredRedLPP,1,99.98452,2.6,10,0.01247357,0.0948354
30,Normal,0,PredRedLPP,0,99.9661,0.933333,10,0.003027025,0.1661777
31,Normal,0,PredRedLPP,1,99.96836,2.6,5,0.04280698,0.188772
32,Normal,0,PredRedLPP,0,99.97901,0,5.714286,0,0.1475462
33,Normal,0,PredRedLPP,0,99.97675,0,2,0,0.09487733
