sub,algo,n,resetCount_mean,resetCount_sd,resetDistance_mean,resetDistance_sd
1.A,Null,60,10.583333333333334,1.586934649543233,8.752543786961649,1.2030808936388941
1.A,"PredRedLPP(ph=1,ep=11,mas=True)",60,8.316666666666666,1.5890693008606807,11.016008977029914,2.056045545113651
1.A,"PredRedLPP(ph=3,ep=15,mas=True)",60,8.233333333333333,2.00310493447824,11.431689325655826,3.5725524152729013
1.A,"PredRedLPP(ph=5,ep=11,mas=True)",60,8.366666666666667,1.6668926400480408,10.918331196342084,1.6725214376078097
1.A,PredRedLPP?????,60,8.55,1.7214991495884913,10.768369633214471,1.988620986705142
1.A,PredRedLPP???????,60,8.2,1.2595398675572367,11.088875042580566,2.1690595230400476
1.A,PredRedLPP????????15?,60,8.233333333333333,1.4885627998306112,11.07146646000481,1.9217382648935233
1.A,PredRedLPP????????1?,60,8.1,1.8198528530569886,11.431993801099827,2.703902704656494
1.A,PredRedLPP????????5?,60,8.333333333333334,1.5694829837109392,10.94653951813557,1.721136683649937
1.A,PredRedLPP????????7?,60,8.35,1.9294769643434988,11.088333441446515,2.2831508753276197
1.A,PredRedLPP?????????7?,60,8.433333333333334,1.650543481799475,10.901941272651422,2.1067905684632007
1.A,S2C,60,8.8,1.1903567333124863,10.320662450846376,1.3633000359269052
1.A,ThomasAPF,60,6.3,1.862202086286419,15.057318755224866,6.368150840738696
1.B,Null,120,10.95,1.7337480650144,8.518493054900464,1.355890446153252
1.B,"PredRedLPP(ph=1,ep=11,mas=True)",120,9.041666666666666,1.7363916673403397,10.238852281332441,1.9769368137066188
1.B,"PredRedLPP(ph=3,ep=15,mas=True)",120,9.083333333333334,1.7755734466435824,10.181405691635332,1.8617310076702662
1.B,"PredRedLPP(ph=5,ep=11,mas=True)",120,9.116666666666667,1.7689351748046234,10.171621391285335,1.9585856279122544
1.B,PredRedLPP?????,120,8.85,1.5912048180888727,10.396981848116699,1.8806679086875338
1.B,PredRedLPP???????,120,8.766666666666667,1.596915794906672,10.52517568907736,2.228318419474684
1.B,PredRedLPP????????15?,120,8.933333333333334,1.6333361916170035,10.28407202877844,1.6442610369962436
1.B,PredRedLPP????????1?,120,9.05,1.8735218262975877,10.2785297878071,2.1040754988876476
1.B,PredRedLPP????????5?,120,9.091666666666667,1.7489292442521969,10.204273660716714,2.0603372519631273
1.B,PredRedLPP????????7?,120,8.966666666666667,1.7292993351285926,10.277656415377795,1.7127649249648376
1.B,PredRedLPP?????????7?,120,8.975,1.6574887352748513,10.24594511384426,1.6535036159620047
1.B,S2C,120,9.3,1.458674429897561,9.870311249624681,1.4842306408612533
1.B,ThomasAPF,120,7.2,1.808476772119045,12.901049446034753,3.5679323402088725
2.A,Null,30,10.233333333333333,0.4301830671520766,8.911927368686868,0.3258674917476442
2.A,PredRedLPP?????,30,0.26666666666666666,0.44977644510880355,86.648995,22.483969477860104
2.A,PredRedLPP???????,30,0.16666666666666666,0.3790490217894517,91.64413166666667,18.947659684294486
2.A,PredRedLPP????????15?,30,0.13333333333333333,0.3457459036417604,93.31218183333334,17.283199603514387
2.A,PredRedLPP????????1?,30,0.23333333333333334,0.4301830671520763,88.3151435,21.5043488107632
2.A,PredRedLPP????????5?,30,0.16666666666666666,0.3790490217894517,91.6474905,18.949158718453358
2.A,PredRedLPP????????7?,30,0.3,0.5349830806219241,86.09228783333333,23.598846066336254
2.A,PredRedLPP?????????7?,30,0.23333333333333334,0.4301830671520763,88.31427416666666,21.504758901242273
2.A,S2C,30,0.26666666666666666,0.4497764451088037,86.64857083333332,22.483715902725255
2.A,ThomasAPF,30,0.16666666666666666,0.3790490217894517,91.65083083333334,18.948317118384114
2.B,Null,60,10.516666666666667,0.6762726024084972,8.710081948038072,0.4872100659042131
2.B,PredRedLPP?????,60,2.7333333333333334,3.123810508080713,55.673167787367724,38.77853664152606
2.B,PredRedLPP???????,60,3.75,3.208172825979912,42.56409788128307,36.157066740569526
2.B,PredRedLPP????????15?,60,2.0833333333333335,2.9818187298783108,66.25536158498677,39.035239273048916
2.B,PredRedLPP????????1?,60,2.966666666666667,2.9398873878275245,51.09115007652117,39.11665332812381
2.B,PredRedLPP????????5?,60,3.25,3.3930387360604626,52.643697226190476,39.89172953138941
2.B,PredRedLPP????????7?,60,3.966666666666667,3.4443107926199383,46.65280085648148,40.81293280355219
2.B,PredRedLPP?????????7?,60,3.5,3.249511045357179,49.234529330026454,40.43858439944177
2.B,S2C,60,0.8666666666666667,2.890467481202133,81.85636048039215,28.017314285568943
2.B,ThomasAPF,60,1.8666666666666667,1.9525443345878408,56.30878252876984,35.976402256589935
3.A,Null,30,15.933333333333334,5.105327395583163,6.999524432039496,5.172643914459352
3.A,PredRedLPP?????,30,0.3333333333333333,0.47946330148538413,83.314402,23.968254875148908
3.A,PredRedLPP???????,30,0.26666666666666666,0.4497764451088037,86.64612916666667,22.484135034890983
3.A,PredRedLPP????????15?,30,0.3333333333333333,0.802295557085754,87.31146556666666,23.90969243857675
3.A,PredRedLPP????????1?,30,0.16666666666666666,0.3790490217894517,91.6451335,18.949450052723215
3.A,PredRedLPP????????5?,30,0.2,0.4068381021724861,89.97868466666667,20.338003314342334
3.A,PredRedLPP????????7?,30,0.3333333333333333,0.4794633014853841,83.31343633333333,23.968680695350674
3.A,PredRedLPP?????????7?,30,0.4,0.49827287912243984,79.97945466666667,24.907113262858022
3.A,S2C,30,8.2,3.305168366518487,21.63118780909091,31.25703560495073
3.A,ThomasAPF,30,3.8,1.0635010497214474,23.49530158888889,14.92503262142315
3.B,Null,60,12.583333333333334,3.5951552460134253,7.719380037283753,1.425972866200054
3.B,PredRedLPP?????,60,1.4333333333333333,1.6505434817994753,60.49906410753968,33.2156708320782
3.B,PredRedLPP???????,60,1.6333333333333333,1.6971228561010436,55.46930225654762,32.377204481954394
3.B,PredRedLPP????????15?,60,1.2333333333333334,1.6911200447188004,68.79909478333335,35.00614448706581
3.B,PredRedLPP????????1?,60,2.0,2.123316880795513,52.732166663492066,33.405397701049374
3.B,PredRedLPP????????5?,60,1.5333333333333334,1.7894859281384838,60.430506213492066,34.303311046738855
3.B,PredRedLPP????????7?,60,1.5,2.0707813967728073,64.80947186230159,35.03734504855947
3.B,PredRedLPP?????????7?,60,1.5,1.9614937234461507,62.208790628571435,34.024536461987445
3.B,S2C,60,9.083333333333334,2.3599171679421342,12.563655147571872,13.716493245276828
3.B,ThomasAPF,60,5.583333333333333,1.8530018400446988,16.911541299074074,6.973874914289605
3.C,Null,30,13.066666666666666,5.812788121644074,7.796052424948949,1.8359582307887627
3.C,PredRedLPP?????,30,5.4,4.782150720882957,32.281092005963885,32.76209788657316
3.C,PredRedLPP???????,30,4.833333333333333,4.727639444018936,37.714640865625555,34.682358295018574
3.C,PredRedLPP????????15?,30,5.233333333333333,4.530991619664647,33.23373505973928,32.70784496403726
3.C,PredRedLPP????????1?,30,4.366666666666666,3.960871841795243,42.33526692262182,39.365400478341115
3.C,PredRedLPP????????5?,30,4.666666666666667,6.676429632945902,46.295380204741555,38.04337762401727
3.C,PredRedLPP????????7?,30,5.333333333333333,5.8565220544887095,37.69965317363361,34.55016365017889
3.C,PredRedLPP?????????7?,30,6.133333333333334,5.17775968950847,34.26418882150934,35.827879804498785
3.C,S2C,30,6.333333333333333,4.729462558468354,36.23101373167573,40.007685296006976
3.C,ThomasAPF,30,12.633333333333333,4.106205004652091,8.265947175570473,3.4653189498397734
3.D,Null,60,25.4,26.10162667831715,6.868973270626805,6.302478328930281
3.D,PredRedLPP?????,60,18.933333333333334,17.563315646459667,13.815632740002666,19.307439852945812
3.D,PredRedLPP???????,60,26.116666666666667,19.87766966755483,6.930464180096914,5.656466179167925
3.D,PredRedLPP????????15?,60,19.983333333333334,18.425748074105307,10.876578340432387,10.581662887599187
3.D,PredRedLPP????????1?,60,18.55,18.127070308411717,9.700926419170068,8.112919695224864
3.D,PredRedLPP????????5?,60,16.766666666666666,17.111168586495786,12.146913933865926,14.14400460544393
3.D,PredRedLPP????????7?,60,18.45,19.662771327338028,10.95444153667497,10.587097871391297
3.D,PredRedLPP?????????7?,60,16.433333333333334,17.351175085168098,12.80898711848527,17.618256920129816
3.D,S2C,60,4.9,4.1729557057359115,40.16207679013048,38.29517459787354
3.D,ThomasAPF,60,25.483333333333334,20.344900386863834,5.787035036938474,3.199256164260513
